iter	RMSE
0	164.2183339
1	123.821347
2	101.6193076
3	90.42669481
4	85.04662647
5	82.62650187
6	81.47265344
7	80.92816276
8	80.63717032
9	80.44147214
10	80.31411081
11	80.24239732
12	80.17184543
13	80.06111508
14	79.97571927
15	79.92944646
16	79.87644071
17	79.80394083
18	79.72241855
19	79.68013328
20	79.63878837
21	79.55765124
22	79.52292116
23	79.48133675
24	79.44011394
25	79.41099615
26	79.37101403
27	79.31856258
28	79.24864707
29	79.18901896
30	79.13895448
31	79.0942532
32	79.05267706
33	79.02377672
34	78.98668977
35	78.93386588
36	78.89033729
37	78.86079937
38	78.82117297
39	78.76805679
40	78.72217075
41	78.68741193
42	78.63320547
43	78.60006194
44	78.54350036
45	78.51887569
46	78.48988075
47	78.45225738
48	78.42399965
49	78.36942274
50	78.33201369
51	78.28393288
52	78.23375051
53	78.20249431
54	78.15554965
55	78.14647991
56	78.09792965
57	78.07650081
58	78.03508886
59	78.01405148
60	77.97706193
61	77.94098105
62	77.90870609
63	77.8586473
64	77.82485309
65	77.78716718
66	77.7687321
67	77.73710133
68	77.72063199
69	77.67883755
70	77.63891813
71	77.60333643
72	77.57275318
73	77.54001077
74	77.50600213
75	77.46398801
76	77.42132337
77	77.37831762
78	77.35322283
79	77.32454843
80	77.29097431
81	77.26432032
82	77.2304833
83	77.22249937
84	77.1796314
85	77.14559965
86	77.10534823
87	77.07812709
88	77.05778975
89	77.01303159
90	76.98882148
91	76.96615973
92	76.94108227
93	76.91604077
94	76.88847053
95	76.86596049
