iter	Passed	Remaining
0	16	1540
1	30	1435
2	44	1369
3	57	1330
4	71	1293
5	84	1266
6	97	1242
7	111	1224
8	124	1203
9	137	1184
10	151	1167
11	165	1155
12	178	1138
13	191	1120
14	204	1104
15	218	1090
16	231	1076
17	245	1062
18	258	1046
19	270	1029
20	283	1014
21	297	999
22	310	985
23	323	970
24	336	956
25	349	942
26	363	928
27	376	914
28	389	900
29	403	887
30	416	874
31	430	860
32	443	846
33	456	832
34	469	817
35	482	804
36	495	790
37	509	776
38	522	763
39	535	749
40	548	735
41	561	722
42	574	708
43	588	695
44	601	681
45	614	667
46	627	654
47	641	641
48	654	627
49	668	615
50	682	601
51	695	588
52	708	574
53	722	561
54	735	548
55	748	534
56	762	521
57	775	508
58	788	494
59	801	481
60	815	467
61	829	454
62	842	441
63	856	428
64	869	414
65	882	401
66	896	387
67	909	374
68	923	361
69	936	347
70	950	334
71	963	321
72	977	307
73	991	294
74	1005	281
75	1019	268
76	1032	254
77	1046	241
78	1059	227
79	1072	214
80	1085	201
81	1098	187
82	1111	174
83	1125	160
84	1139	147
85	1153	134
86	1167	120
87	1180	107
88	1194	93
89	1207	80
90	1219	67
91	1233	53
92	1247	40
93	1261	26
94	1274	13
95	1288	0
