,title,contentRating,size,price,currency,free,score,reviews,collection,lang,Action,Adventure,Casino,Casual,Family,Puzzle,Racing,Role Playing,Simulation,Sports,Strategy
7613,Draw Puzzle: Tricky Brain Test,12,372,0.0,USD,True,4.4,6520,TOP_GROSSING,ru,,,,,,Puzzle,,,,,
9028,Burger Maker Kids Cooking Game,4,142,0.0,USD,True,4.6,5208,TOP_GROSSING,ru,,,,Casual,Family,,,,,,
4112,Brain Test 2: Tricky Stories,9,226,0.0,USD,True,4.8,187740,TOP_FREE,ru,,,,,,Puzzle,,,,,
6717,Westland Survival - Cowboy RPG,12,698,0.0,USD,True,4.6,34963,TOP_GROSSING,ru,,Adventure,,,,,,Role Playing,,,
11683,Rush Rally 2,4,163,1.99,USD,False,4.5,78,TOP_PAID,ru,,,,,,,Racing,,Simulation,Sports,
11067,Backgammon Narde AD,4,109,3.99,USD,False,4.6,928,TOP_PAID,ru,,,,,,,,,,,
11068,Alias party: игра Алиас Элиас,4,221,2.99,USD,False,5.0,1,TOP_PAID,ru,,,,,,,,,,,
7364,Idle Zombie Miner: Gold Tycoon,4,342,0.0,USD,True,4.7,2245,TOP_GROSSING,ru,,,,,,,,,Simulation,,
7422,Boxing Star: Real Boxing Fight,12,2030,0.0,USD,True,4.6,94895,TOP_GROSSING,ru,Action,,,,,,,,,Sports,
3304,Sherlock・Hidden Object・Match 3,4,205,0.0,USD,True,4.5,46118,TOP_FREE,ru,,Adventure,,,,Puzzle,,,,,
6990,Jackpot Friends™-Slots Casino,17,363,0.0,USD,True,4.9,68137,TOP_GROSSING,ru,,,Casino,,,,,,,,
7104,Owl and Pals Preschool Lessons,4,21,4.99,USD,False,0.0,0,TOP_GROSSING,ru,,,,,,,,,,,
9014,Indy Cat Match 3 Forever,4,295,0.0,USD,True,4.7,284,TOP_GROSSING,ru,,,,Casual,,Puzzle,,,,,
11319,Chess - tChess Lite,4,6,0.99,USD,False,4.6,72,TOP_PAID,ru,,,,,,,,,,,Strategy
13991,Draw a Stickman: EPIC HD,9,116,2.99,USD,False,4.6,309,TOP_PAID,ru,,,,,Family,,,Role Playing,,,
3378,Random Picker - Wheel +,12,70,0.0,USD,True,4.7,5361,TOP_FREE,ru,,,,,,,,,,,
14047,ABUS RAW ILS,4,37,5.99,USD,False,2.8,5,TOP_PAID,ru,,,,,,,,,Simulation,,
3167,Hide 'N Seek!,12,263,0.0,USD,True,4.6,502333,TOP_FREE,ru,Action,,,Casual,,,,,,,
11209,Bounce and Pop - Balloons 3D,9,25,0.99,USD,False,5.0,2,TOP_PAID,ru,,,,Casual,,,,,,,Strategy
13959,Cyberrunner,4,23,1.99,USD,False,4.9,7,TOP_PAID,ru,Action,,,,,,Racing,,,,
