,title,installs,score,scoreText,ratings,reviews,price,free,currency,priceText,available,offersIAP,IAPRange,genre,genreId,categories,contentRating,contentRatingDescription,adSupported,released,updated,version,preregister,earlyAccessEnabled,isAvailableInPlayPass,histogram.1,histogram.2,histogram.3,histogram.4,histogram.5,originalPrice,discountEndDate,collection,lang
2556,Cheech and Chong Bud Farm,"1,000,000+",4.6397057,4.6,103241.0,12332.0,0.0,True,USD,Free,True,True,$0.99 - $199.99 per item,Simulation,GAME_SIMULATION,"[{'name': 'Simulation', 'id': 'GAME_SIMULATION'}, {'name': 'Management', 'id': None}, {'name': 'Tycoon', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Business & profession', 'id': None}, {'name': 'Business empire', 'id': None}, {'name': 'City', 'id': None}, {'name': 'Offline', 'id': None}]",Mature 17+,"Sexual Themes, Use of Drugs, Language",True,"Apr 19, 2020",1717459465000.0,1.5.6,False,False,False,1360.0,1216.0,6085.0,15925.0,78648.0,,,GROSSING,en
2778,True Skate,"5,000,000+",4.304911,4.3,205378.0,12462.0,1.99,False,USD,$1.99,True,True,$0.99 - $99.99 per item,Sports,GAME_SPORTS,"[{'name': 'Sports', 'id': 'GAME_SPORTS'}, {'name': 'Skateboarding', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Stylized', 'id': None}, {'name': 'Park', 'id': None}]",Everyone,,True,"Jul 19, 2013",1716890463000.0,1.5.81,False,False,False,17136.0,7115.0,13238.0,26356.0,141515.0,,,GROSSING,en
1690,Readiculous - Learn to Read,"10,000+",4.0,4.0,37.0,4.0,0.0,True,USD,Free,True,True,$9.99 - $84.99 per item,Educational,GAME_EDUCATIONAL,"[{'name': 'Educational', 'id': 'GAME_EDUCATIONAL'}]",Everyone,,False,"Jul 11, 2023",1721631793000.0,1.3.0,False,False,False,5.0,5.0,0.0,0.0,26.0,,,GROSSING,en
9738,The Ink Shop - Tattoo Art ASMR,"5,000,000+",3.93,3.9,2657.0,60.0,0.0,True,USD,Free,True,True,$4.99 per item,Simulation,GAME_SIMULATION,"[{'name': 'Simulation', 'id': 'GAME_SIMULATION'}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}]",Everyone,,True,"Mar 6, 2024",1721699927000.0,1.1.2,False,False,False,467.0,120.0,146.0,200.0,1668.0,,,TOP_FREE,ru
7754,Mine Block Craft PlanetofCubes,"1,000,000+",4.35,4.3,7279.0,328.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Adventure,GAME_ADVENTURE,"[{'name': 'Simulation', 'id': 'GAME_SIMULATION'}, {'name': 'Sandbox', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Pixelated', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Dec 18, 2020",1720699721000.0,2.8.4,False,False,False,502.0,141.0,651.0,941.0,5020.0,,,TOP_FREE,ru
3478,Word Blast: Word Search Games,"500,000+",4.6666665,4.7,7129.0,2114.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Word,GAME_WORD,"[{'name': 'Word', 'id': 'GAME_WORD'}, {'name': 'Search', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Feb 26, 2021",1717570793000.0,1.5.7,False,False,False,192.0,95.0,310.0,687.0,5838.0,,,GROSSING,en
278,CATS: Crash Arena Turbo Stars,"100,000,000+",4.3285556,4.3,2817779.0,111200.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Action,GAME_ACTION,"[{'name': 'Action', 'id': 'GAME_ACTION'}, {'name': 'Fighting', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Renovation', 'id': None}, {'name': 'Battling', 'id': None}]",Everyone,Mild Fantasy Violence,True,"Apr 19, 2017",1720787114000.0,3.16.3,False,False,False,247028.0,84064.0,144765.0,362089.0,1979796.0,,,GROSSING,en
9590,Bloodline: Heroes of Lithas,"100,000+",,,,,0.0,True,USD,Free,False,True,$0.99 - $99.99 per item,Role Playing,GAME_ROLE_PLAYING,"[{'name': 'Role Playing', 'id': 'GAME_ROLE_PLAYING'}, {'name': 'Action-strategy', 'id': None}, {'name': 'Stylized', 'id': None}]",Teen,"Violence, Blood",False,,1721791536000.0,0.0041.22,False,False,False,0.0,0.0,0.0,0.0,0.0,,,TOP_FREE,ru
2962,Mobile Strike,"50,000,000+",3.36722,3.4,883430.0,62404.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Strategy,GAME_STRATEGY,"[{'name': 'Strategy', 'id': 'GAME_STRATEGY'}, {'name': '4X', 'id': None}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Stylized-realistic', 'id': None}, {'name': 'Modern', 'id': None}, {'name': 'Military', 'id': None}]",Everyone 10+,Violent References,False,"Nov 5, 2015",1709941754000.0,11.8.1.296,False,False,False,268832.0,47009.0,79204.0,67662.0,420710.0,,,GROSSING,en
2415,Idle Slayer,"5,000,000+",4.6040354,4.6,102217.0,5427.0,0.0,True,USD,Free,True,True,$1.99 - $99.99 per item,Role Playing,GAME_ROLE_PLAYING,"[{'name': 'Role Playing', 'id': 'GAME_ROLE_PLAYING'}, {'name': 'Idle RPG', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Pixelated', 'id': None}, {'name': 'Battling', 'id': None}, {'name': 'Jump', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Mar 25, 2020",1721808242000.0,6.0.14,False,False,False,4038.0,1373.0,3779.0,12629.0,80388.0,,,GROSSING,en
104,Domino Dreams™,"5,000,000+",4.788867,4.8,234845.0,17288.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Puzzle,GAME_PUZZLE,"[{'name': 'Board', 'id': 'GAME_BOARD'}, {'name': 'Abstract strategy', 'id': None}, {'name': 'Arcade', 'id': 'GAME_ARCADE'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Cartoon', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,False,"Jan 11, 2023",1722096573000.0,1.32.4,False,False,False,2104.0,923.0,4811.0,28759.0,198239.0,,,GROSSING,en
2481,Disney Mirrorverse,"5,000,000+",4.571354,4.6,173929.0,6828.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Role Playing,GAME_ROLE_PLAYING,"[{'name': 'Role Playing', 'id': 'GAME_ROLE_PLAYING'}, {'name': 'Action Role-Playing', 'id': None}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Cartoon', 'id': None}, {'name': 'Battling', 'id': None}, {'name': 'Fantasy', 'id': None}]",Teen,Violence,False,"Jun 20, 2022",1715020595000.0,13.0.0,False,False,False,7239.0,2865.0,7148.0,22678.0,133987.0,,,GROSSING,en
2699,8 Ball Pool,"1,000,000,000+",4.5656853,4.6,27785445.0,957722.0,0.0,True,USD,Free,True,True,$0.10 - $299.99 per item,Sports,GAME_SPORTS,"[{'name': 'Sports', 'id': 'GAME_SPORTS'}, {'name': 'Billiards', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Realistic', 'id': None}, {'name': 'Sports', 'id': None}, {'name': 'Billiards', 'id': None}, {'name': 'Sports', 'id': None}, {'name': 'Pool', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Jan 23, 2013",1721746631000.0,55.6.1,False,False,False,1319339.0,387079.0,1109628.0,3409737.0,21559644.0,,,GROSSING,en
1423,Lucky Buddies,"1,000,000+",4.484785,4.5,134472.0,6991.0,0.0,True,USD,Free,True,True,$0.99 - $349.99 per item,Casual,GAME_CASUAL,"[{'name': 'Casino', 'id': 'GAME_CASINO'}, {'name': 'Casino-adventure', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Battling', 'id': None}]",Everyone 10+,"Fantasy Violence, Mild Blood",False,"Dec 30, 2018",1704212792000.0,VARY,False,False,False,5548.0,3056.0,7287.0,23325.0,95240.0,,,GROSSING,en
1113,The Elder Scrolls: Legends,"1,000,000+",3.902677,3.9,144135.0,13671.0,0.0,True,USD,Free,True,True,$1.99 - $99.99 per item,Card,GAME_CARD,"[{'name': 'Miscellaneous', 'id': None}, {'name': 'Cards', 'id': None}, {'name': 'Battling', 'id': None}]",Teen,Mild Violence,False,"May 31, 2017",1624370679000.0,VARY,False,False,False,24284.0,6672.0,10848.0,19292.0,83028.0,,,GROSSING,en
3319,Boggle With Friends: Word Game,"1,000,000+",3.733295,3.7,25421.0,7943.0,0.0,True,USD,Free,True,True,$0.99 - $99.99 per item,Word,GAME_WORD,"[{'name': 'Word', 'id': 'GAME_WORD'}, {'name': 'Search', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Multiplayer', 'id': None}, {'name': 'Competitive multiplayer', 'id': None}, {'name': 'Single player', 'id': None}, {'name': 'Abstract', 'id': None}, {'name': 'Miscellaneous', 'id': None}, {'name': 'Board games', 'id': None}, {'name': 'Modern', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone,,True,"Mar 15, 2017",1715072639000.0,18.5.1509,False,False,False,4773.0,1960.0,1786.0,3644.0,13251.0,,,GROSSING,en
8458,Cash Blitz Slots: Casino Games,"1,000,000+",4.7787304,4.8,154196.0,24186.0,0.0,True,USD,Free,True,True,$1.99 - $199.99 per item,Casino,GAME_CASINO,"[{'name': 'Casino', 'id': 'GAME_CASINO'}, {'name': 'Slots', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}]",Teen,Simulated Gambling,True,"Aug 17, 2019",1710833642000.0,6.0.0.510,False,False,False,5029.0,1229.0,2081.0,6139.0,139711.0,,,TOP_FREE,ru
5846,Ramp Racing 3D — Extreme Race,"5,000,000+",3.6633663,3.7,2670.0,34.0,0.0,True,USD,Free,True,True,$5.99 per item,Racing,GAME_RACING,"[{'name': 'Racing', 'id': 'GAME_RACING'}, {'name': 'Stunt driving', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}]",Everyone,,True,"Jul 5, 2022",1704480290000.0,4.9,False,False,False,683.0,41.0,206.0,227.0,1469.0,,,TOP_FREE,en
3722,Galaxiga Arcade Shooting Game,"50,000,000+",4.632484,4.6,396331.0,31677.0,0.0,True,USD,Free,True,True,$0.49 - $339.99 per item,Arcade,GAME_ARCADE,"[{'name': 'Action', 'id': 'GAME_ACTION'}, {'name': 'Shooter', 'id': None}, {'name': 'Bulletstorm', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Single player', 'id': None}, {'name': 'Stylized', 'id': None}, {'name': 'Pixelated', 'id': None}, {'name': 'Shoot', 'id': None}, {'name': 'Fantasy', 'id': None}, {'name': 'Sci-fi fantasy', 'id': None}, {'name': 'Offline', 'id': None}]",Everyone 10+,Fantasy Violence,True,"Jul 15, 2019",1720173524000.0,VARY,False,False,False,18215.0,7223.0,12154.0,26807.0,331922.0,,,TOP_FREE,en
10877,Everdell,"10,000+",4.5841584,4.6,766.0,130.0,9.99,False,USD,$9.99,True,False,,Board,GAME_BOARD,"[{'name': 'Board', 'id': 'GAME_BOARD'}, {'name': 'Abstract strategy', 'id': None}, {'name': 'Casual', 'id': 'GAME_CASUAL'}, {'name': 'Stylized', 'id': None}]",Everyone,,False,"Jul 28, 2022",1700269797000.0,1.1.9,False,False,False,20.0,14.0,5.0,166.0,553.0,,,TOP_PAID,en
