iter	RMSE
0	207646.1462
1	200982.3338
2	194793.6839
3	189424.7112
4	183070.265
5	176991.4643
6	171612.1815
7	167140.366
8	162639.6671
9	157774.1353
10	153254.07
11	149055.5888
12	145408.718
13	141619.8068
14	138146.974
15	135358.0959
16	132701.466
17	129992.3461
18	127344.4364
19	125006.6647
20	122968.6453
21	120565.6605
22	118703.7453
23	116916.8976
24	115340.3996
25	113728.8028
26	111802.0394
27	110678.3494
28	109193.9311
29	107702.1997
30	106336.8446
31	104867.3507
32	103738.178
33	102180.6428
34	101018.8412
35	99980.22408
36	99020.69414
37	98027.42941
38	97025.36518
39	96124.21213
40	95442.33336
41	94501.16689
42	93846.96168
43	92890.27218
44	92273.46921
45	91566.6041
46	90963.38862
47	90248.00393
48	89716.81226
49	89064.89571
50	88498.35216
51	88031.97875
52	87565.94859
53	87256.78621
54	86809.15503
55	86119.68634
56	85556.01107
57	84856.22562
58	84440.27452
59	83740.52705
60	83317.78019
61	82860.79618
62	82191.97259
63	81775.87936
64	81331.24459
65	81010.39908
66	80590.6916
67	80136.1662
68	79811.85463
69	79498.5078
70	79199.27406
71	78952.8167
72	78546.33445
73	78198.22204
74	77724.84801
75	77431.7383
76	77204.69874
77	76855.75589
78	76593.79184
79	76198.83201
80	76036.09505
81	75340.44001
82	75127.94271
83	74824.31069
84	74647.56725
85	74484.76579
86	74284.61327
87	74137.51829
88	73816.69392
89	73598.30207
90	73377.43679
91	73172.88076
92	72986.39978
93	72593.16928
94	72350.33264
95	72157.45974
96	71766.57765
97	71617.48213
98	71445.31981
99	71300.42311
100	71149.06188
101	70947.48929
102	70783.15955
103	70240.97151
104	70052.42876
105	69946.2661
106	69750.22994
107	69635.12901
108	69313.55966
109	69046.16164
110	68933.24742
111	68577.93537
112	68467.11746
113	68319.75793
114	68170.13229
115	67797.66747
116	67679.28918
117	67315.17475
118	67127.57297
119	66921.12353
120	66725.43526
121	66618.96708
122	66500.63493
123	66380.898
124	66232.06581
125	65869.82744
126	65732.35106
127	65674.20905
128	65245.45476
129	65118.40652
130	64934.09137
131	64794.19582
132	64720.55839
133	64531.44582
134	64421.66569
135	64277.23607
136	64181.65088
137	63853.2177
138	63696.63259
139	63054.08422
140	62943.54537
141	62790.13344
142	62666.27171
143	62554.22176
144	62210.65042
145	61792.86433
146	61671.29324
147	61378.04604
148	61232.41603
149	61090.45633
150	60892.58009
151	60623.00342
152	60474.8721
153	60320.49737
154	59971.65943
155	59822.01591
156	59610.05859
157	59524.4428
158	59425.01363
159	59309.46451
160	59139.44179
161	59020.96216
162	58851.17164
163	58658.56314
164	58535.3649
165	58376.09953
166	58018.25366
167	57746.41088
168	57612.62636
169	57479.69127
170	57059.4516
171	56932.55056
172	56837.68392
173	56703.90499
174	56597.65064
175	56265.51359
176	56084.93275
177	55951.55984
178	55843.27168
179	55726.65034
180	55571.86903
181	55483.75787
182	55123.7061
183	54962.92004
184	54729.36323
185	54585.58208
186	54483.27292
187	54373.71136
188	54316.9879
189	54086.54046
190	54021.15448
191	53670.16428
192	53529.5772
193	53415.87882
194	53354.32913
195	53263.22795
196	53126.75193
197	52990.84827
198	52846.096
199	52739.2605
200	52405.58014
201	52303.9688
202	52207.53919
203	52070.7986
204	51978.31209
205	51764.4299
206	51677.36885
207	51545.12596
208	51246.02081
209	51094.27688
210	50974.96016
211	50850.99686
212	50715.79596
213	50582.83784
214	50399.19701
215	50314.01082
216	50197.52191
217	50131.94718
218	49835.48752
219	49758.19969
220	49658.70971
221	49381.58087
