iter	Passed	Remaining
0	12	12077
1	23	11579
2	30	10221
3	55	13937
4	75	15044
5	86	14315
6	103	14698
7	112	13981
8	126	13887
9	137	13573
10	142	12809
11	155	12805
12	161	12236
13	171	12097
14	175	11546
15	184	11334
16	188	10901
17	192	10515
18	205	10635
19	214	10534
20	219	10222
21	223	9941
22	230	9791
23	234	9542
24	238	9313
25	245	9178
26	249	8975
27	253	8800
28	259	8696
29	263	8530
30	268	8378
31	272	8233
32	277	8129
33	281	8012
34	286	7889
35	292	7824
36	296	7728
37	301	7622
38	307	7571
39	311	7477
40	315	7382
41	323	7378
42	329	7322
43	333	7238
44	339	7196
45	345	7156
46	353	7158
47	358	7102
48	363	7056
49	373	7093
50	379	7064
51	385	7033
52	390	6970
53	394	6905
54	402	6921
55	409	6896
56	426	7056
57	437	7106
58	454	7256
59	481	7548
60	493	7594
61	503	7611
62	516	7682
63	527	7712
64	541	7792
65	551	7805
66	571	7956
67	581	7966
68	591	7977
69	598	7953
70	611	8000
71	628	8097
72	662	8410
73	678	8484
74	691	8527
75	697	8485
76	707	8476
77	712	8423
78	725	8463
79	738	8491
80	746	8465
81	756	8466
82	760	8404
83	767	8371
84	777	8368
85	789	8389
86	793	8330
87	801	8306
88	807	8262
89	818	8272
90	824	8234
91	831	8210
92	836	8157
93	844	8138
94	849	8090
95	855	8052
96	863	8036
97	869	8002
98	878	7991
99	883	7954
100	914	8137
101	932	8212
102	947	8254
103	961	8282
104	973	8298
105	980	8268
106	996	8320
107	1008	8333
108	1014	8291
109	1024	8289
110	1029	8245
111	1040	8251
112	1045	8205
113	1071	8324
114	1075	8280
115	1083	8257
116	1087	8210
117	1092	8168
118	1101	8152
119	1118	8205
120	1137	8261
121	1145	8246
122	1162	8288
123	1168	8252
124	1181	8267
125	1186	8228
126	1190	8182
127	1199	8174
128	1205	8138
129	1215	8134
130	1220	8096
131	1229	8085
132	1234	8044
133	1238	8001
134	1248	7998
135	1253	7965
136	1262	7953
137	1266	7909
138	1269	7866
139	1275	7838
140	1279	7796
141	1284	7758
142	1291	7740
143	1295	7701
144	1299	7664
145	1307	7646
146	1311	7609
147	1315	7573
148	1322	7554
149	1328	7530
150	1333	7495
151	1342	7490
152	1350	7473
153	1358	7465
154	1368	7458
155	1374	7435
156	1391	7471
157	1419	7567
158	1435	7595
159	1447	7601
160	1458	7599
161	1468	7594
162	1472	7560
163	1488	7589
164	1504	7614
165	1516	7619
166	1522	7592
167	1539	7623
168	1551	7627
169	1560	7617
170	1566	7592
171	1576	7589
172	1581	7560
173	1592	7560
174	1596	7527
175	1605	7515
176	1609	7483
177	1613	7450
178	1621	7435
179	1625	7403
180	1629	7371
181	1637	7357
182	1641	7327
183	1645	7298
184	1651	7277
185	1655	7245
186	1659	7216
187	1666	7198
188	1670	7168
189	1674	7140
190	1679	7113
191	1683	7086
192	1688	7058
193	1692	7030
194	1698	7011
195	1702	6983
196	1706	6956
197	1712	6936
198	1716	6909
199	1720	6883
200	1724	6856
201	1730	6835
202	1734	6809
203	1738	6783
204	1744	6764
205	1748	6739
206	1752	6713
207	1758	6696
208	1762	6671
209	1766	6647
210	1772	6627
211	1776	6603
212	1780	6577
213	1784	6552
214	1789	6534
215	1806	6558
216	1815	6550
217	1827	6554
218	1845	6580
219	1857	6587
220	1877	6616
221	1890	6623
