Дата,Средняя температура,Город
2015-08-04,18.1,Amsterdam
2015-08-05,19.1,Amsterdam
2015-08-06,20.2,Amsterdam
2015-08-07,19.4,Amsterdam
2015-08-08,18.6,Amsterdam
2015-08-09,18.9,Amsterdam
2015-08-10,19.7,Amsterdam
2015-08-11,19.8,Amsterdam
2015-08-12,19.3,Amsterdam
2015-08-13,21.4,Amsterdam
2015-08-14,21.3,Amsterdam
2015-08-15,18.1,Amsterdam
2015-08-16,16.0,Amsterdam
2015-08-17,14.4,Amsterdam
2015-08-18,15.2,Amsterdam
2015-08-19,17.1,Amsterdam
2015-08-20,18.7,Amsterdam
2015-08-21,20.4,Amsterdam
2015-08-22,21.3,Amsterdam
2015-08-23,20.3,Amsterdam
2015-08-24,17.6,Amsterdam
2015-08-25,16.8,Amsterdam
2015-08-26,19.6,Amsterdam
2015-08-27,15.9,Amsterdam
2015-08-28,16.1,Amsterdam
2015-08-29,17.3,Amsterdam
2015-08-30,19.7,Amsterdam
2015-08-31,20.4,Amsterdam
2015-09-01,16.0,Amsterdam
2015-09-02,14.2,Amsterdam
2015-09-03,12.7,Amsterdam
2015-09-04,13.9,Amsterdam
2015-09-05,13.9,Amsterdam
2015-09-06,13.3,Amsterdam
2015-09-07,14.3,Amsterdam
2015-09-08,14.4,Amsterdam
2015-09-09,14.1,Amsterdam
2015-09-10,14.8,Amsterdam
2015-09-11,14.7,Amsterdam
2015-09-12,15.7,Amsterdam
2015-09-13,16.3,Amsterdam
2015-09-14,14.3,Amsterdam
2015-09-15,12.3,Amsterdam
2015-09-16,14.7,Amsterdam
2015-09-17,14.2,Amsterdam
2015-09-18,13.9,Amsterdam
2015-09-19,13.7,Amsterdam
2015-09-20,14.0,Amsterdam
2015-09-21,14.6,Amsterdam
2015-09-22,12.9,Amsterdam
2015-09-23,13.3,Amsterdam
2015-09-24,13.0,Amsterdam
2015-09-25,12.7,Amsterdam
2015-09-26,11.8,Amsterdam
2015-09-27,12.4,Amsterdam
2015-09-28,12.6,Amsterdam
2015-09-29,12.6,Amsterdam
2015-09-30,13.1,Amsterdam
2015-10-01,12.3,Amsterdam
2015-10-02,11.6,Amsterdam
2015-10-03,11.8,Amsterdam
2015-10-04,11.2,Amsterdam
2015-10-05,12.8,Amsterdam
2015-10-06,15.4,Amsterdam
2015-10-07,14.9,Amsterdam
2015-10-08,13.6,Amsterdam
2015-10-09,12.1,Amsterdam
2015-10-10,11.8,Amsterdam
2015-10-11,7.5,Amsterdam
2015-10-12,5.5,Amsterdam
2015-10-13,6.5,Amsterdam
2015-10-14,6.7,Amsterdam
2015-10-15,7.1,Amsterdam
2015-10-16,8.4,Amsterdam
2015-10-17,9.2,Amsterdam
2015-10-18,8.9,Amsterdam
2015-10-19,11.2,Amsterdam
2015-10-20,9.9,Amsterdam
2015-10-21,10.0,Amsterdam
2015-10-22,12.4,Amsterdam
2015-10-23,11.6,Amsterdam
2015-10-24,11.6,Amsterdam
2015-10-25,10.2,Amsterdam
2015-10-26,10.9,Amsterdam
2015-10-27,11.7,Amsterdam
2015-10-28,10.8,Amsterdam
2015-10-29,11.0,Amsterdam
2015-10-30,10.4,Amsterdam
2015-10-31,9.8,Amsterdam
2015-11-01,7.3,Amsterdam
2015-11-02,8.7,Amsterdam
2015-11-03,9.7,Amsterdam
2015-11-04,12.0,Amsterdam
2015-11-05,13.1,Amsterdam
2015-11-06,15.0,Amsterdam
2015-11-07,16.1,Amsterdam
2015-11-08,12.8,Amsterdam
2015-11-09,13.7,Amsterdam
2015-11-10,14.7,Amsterdam
2015-11-11,13.1,Amsterdam
2015-11-12,13.4,Amsterdam
2015-11-13,11.5,Amsterdam
2015-11-14,9.8,Amsterdam
2015-11-15,14.4,Amsterdam
2015-11-16,12.7,Amsterdam
2015-11-17,13.2,Amsterdam
2015-11-18,12.8,Amsterdam
2015-11-19,11.3,Amsterdam
2015-11-20,8.3,Amsterdam
2015-11-21,5.2,Amsterdam
2015-11-22,2.7,Amsterdam
2015-11-23,3.4,Amsterdam
2015-11-24,4.9,Amsterdam
2015-11-25,6.6,Amsterdam
2015-11-26,5.1,Amsterdam
2015-11-27,5.8,Amsterdam
2015-11-28,6.9,Amsterdam
2015-11-29,10.4,Amsterdam
2015-11-30,9.4,Amsterdam
2015-12-01,9.6,Amsterdam
2015-12-02,10.8,Amsterdam
2015-12-03,9.6,Amsterdam
2015-12-04,9.6,Amsterdam
2015-12-05,8.2,Amsterdam
2015-12-06,10.6,Amsterdam
2015-12-07,10.9,Amsterdam
2015-12-08,9.6,Amsterdam
2015-12-09,7.9,Amsterdam
2015-12-10,6.5,Amsterdam
2015-12-11,7.8,Amsterdam
2015-12-12,8.0,Amsterdam
2015-12-13,7.4,Amsterdam
2015-12-14,7.2,Amsterdam
2015-12-15,7.2,Amsterdam
2015-12-16,11.5,Amsterdam
2015-12-17,12.9,Amsterdam
2015-12-18,11.5,Amsterdam
2015-12-19,11.9,Amsterdam
2015-12-20,11.4,Amsterdam
2015-12-21,9.9,Amsterdam
2015-12-22,12.3,Amsterdam
2015-12-23,10.2,Amsterdam
2015-12-24,9.3,Amsterdam
2015-12-25,9.2,Amsterdam
2015-12-26,13.0,Amsterdam
2015-12-27,11.8,Amsterdam
2015-12-28,9.3,Amsterdam
2015-12-29,7.7,Amsterdam
2015-12-30,7.6,Amsterdam
2016-01-01,5.3,Amsterdam
2016-01-02,5.5,Amsterdam
2016-01-03,7.2,Amsterdam
2016-01-04,5.9,Amsterdam
2016-01-05,6.9,Amsterdam
2016-01-06,2.7,Amsterdam
2016-01-07,5.9,Amsterdam
2016-01-08,6.0,Amsterdam
2016-01-09,5.2,Amsterdam
2016-01-10,6.7,Amsterdam
2016-01-11,5.0,Amsterdam
2016-01-12,6.7,Amsterdam
2016-01-13,5.0,Amsterdam
2016-01-14,3.5,Amsterdam
2016-01-15,2.3,Amsterdam
2016-01-16,2.9,Amsterdam
2016-01-17,-0.4,Amsterdam
2016-01-18,-2.9,Amsterdam
2016-01-19,-1.6,Amsterdam
2016-01-20,2.3,Amsterdam
2016-01-21,-1.1,Amsterdam
2016-01-22,1.0,Amsterdam
2016-01-23,7.3,Amsterdam
2016-01-24,7.9,Amsterdam
2016-01-25,10.4,Amsterdam
2016-01-26,8.8,Amsterdam
2016-01-27,10.8,Amsterdam
2016-01-28,6.6,Amsterdam
2016-01-29,9.3,Amsterdam
2016-01-30,7.6,Amsterdam
2016-01-31,6.9,Amsterdam
2016-02-01,11.3,Amsterdam
2016-02-02,8.9,Amsterdam
2016-02-03,5.3,Amsterdam
2016-02-04,5.7,Amsterdam
2016-02-05,8.6,Amsterdam
2016-02-06,9.3,Amsterdam
2016-02-07,8.6,Amsterdam
2016-02-08,8.3,Amsterdam
2016-02-09,5.9,Amsterdam
2016-02-10,5.4,Amsterdam
2016-02-11,4.0,Amsterdam
2016-02-12,2.5,Amsterdam
2016-02-13,1.6,Amsterdam
2016-02-14,2.4,Amsterdam
2016-02-15,2.6,Amsterdam
2016-02-16,0.3,Amsterdam
2016-02-17,-0.9,Amsterdam
2016-02-18,0.8,Amsterdam
2016-02-19,3.5,Amsterdam
2016-02-20,8.2,Amsterdam
2016-02-21,10.4,Amsterdam
2016-02-22,6.9,Amsterdam
2016-02-23,4.3,Amsterdam
2016-02-24,2.2,Amsterdam
2016-02-25,1.7,Amsterdam
2016-02-26,1.9,Amsterdam
2016-02-27,2.7,Amsterdam
2016-02-28,3.1,Amsterdam
2016-02-29,2.6,Amsterdam
2016-03-01,2.6,Amsterdam
2016-03-02,5.5,Amsterdam
2016-03-03,3.6,Amsterdam
2016-03-04,2.0,Amsterdam
2016-03-05,2.1,Amsterdam
2016-03-06,2.7,Amsterdam
2016-03-07,3.0,Amsterdam
2016-03-08,3.8,Amsterdam
2016-03-09,5.2,Amsterdam
2016-03-10,4.3,Amsterdam
2016-03-11,3.1,Amsterdam
2016-03-12,3.8,Amsterdam
2016-03-13,3.8,Amsterdam
2016-03-14,4.2,Amsterdam
2016-03-15,4.9,Amsterdam
2016-03-16,5.2,Amsterdam
2016-03-17,5.9,Amsterdam
2016-03-18,5.6,Amsterdam
2016-03-19,6.4,Amsterdam
2016-03-20,6.6,Amsterdam
2016-03-21,7.3,Amsterdam
2016-03-22,7.7,Amsterdam
2016-03-23,7.7,Amsterdam
2016-03-24,7.9,Amsterdam
2016-03-25,6.9,Amsterdam
2016-03-26,9.1,Amsterdam
2016-03-27,8.7,Amsterdam
2016-03-28,9.2,Amsterdam
2016-03-29,8.2,Amsterdam
2016-03-30,8.2,Amsterdam
2016-03-31,7.7,Amsterdam
2016-04-01,8.1,Amsterdam
2016-04-02,10.4,Amsterdam
2016-04-03,14.7,Amsterdam
2016-04-04,12.6,Amsterdam
2016-04-05,10.2,Amsterdam
2016-04-06,8.2,Amsterdam
2016-04-07,7.8,Amsterdam
2016-04-08,7.9,Amsterdam
2016-04-09,9.8,Amsterdam
2016-04-10,10.3,Amsterdam
2016-04-11,13.4,Amsterdam
2016-04-12,11.7,Amsterdam
2016-04-13,10.3,Amsterdam
2016-04-14,10.9,Amsterdam
2016-04-15,10.1,Amsterdam
2016-04-16,8.2,Amsterdam
2016-04-17,6.6,Amsterdam
2016-04-18,8.8,Amsterdam
2016-04-19,9.7,Amsterdam
2016-04-20,8.1,Amsterdam
2016-04-21,9.6,Amsterdam
2016-04-22,8.7,Amsterdam
2016-04-23,6.7,Amsterdam
2016-04-24,4.5,Amsterdam
2016-04-25,4.9,Amsterdam
2016-04-26,5.2,Amsterdam
2016-04-27,5.7,Amsterdam
2016-04-28,5.4,Amsterdam
2016-04-29,7.8,Amsterdam
2016-04-30,7.6,Amsterdam
2016-05-01,7.9,Amsterdam
2016-05-02,11.0,Amsterdam
2016-05-03,9.7,Amsterdam
2016-05-04,10.7,Amsterdam
2016-05-05,13.3,Amsterdam
2016-05-06,17.1,Amsterdam
2016-05-07,20.0,Amsterdam
2016-05-08,20.9,Amsterdam
2016-05-09,20.5,Amsterdam
2016-05-10,19.2,Amsterdam
2016-05-11,20.2,Amsterdam
2016-05-12,20.2,Amsterdam
2016-05-13,15.4,Amsterdam
2016-05-14,8.8,Amsterdam
2016-05-15,8.5,Amsterdam
2016-05-16,9.3,Amsterdam
2016-05-17,12.5,Amsterdam
2016-05-18,12.7,Amsterdam
2016-05-19,13.4,Amsterdam
2016-05-20,13.8,Amsterdam
2016-05-21,17.1,Amsterdam
2016-05-22,15.2,Amsterdam
2016-05-23,12.1,Amsterdam
2016-05-24,11.3,Amsterdam
2016-05-25,11.8,Amsterdam
2016-05-26,13.4,Amsterdam
2016-05-27,15.8,Amsterdam
2016-05-28,17.6,Amsterdam
2016-05-29,17.2,Amsterdam
2016-05-30,16.3,Amsterdam
2016-05-31,19.0,Amsterdam
2016-06-01,18.9,Amsterdam
2016-06-02,14.0,Amsterdam
2016-06-03,15.2,Amsterdam
2016-06-04,20.3,Amsterdam
2016-06-05,19.4,Amsterdam
2016-06-06,18.1,Amsterdam
2016-06-07,19.6,Amsterdam
2016-06-08,15.9,Amsterdam
2016-06-09,14.7,Amsterdam
2016-06-10,15.8,Amsterdam
2016-06-11,15.9,Amsterdam
2016-06-12,17.1,Amsterdam
2016-06-13,15.7,Amsterdam
2016-06-14,15.4,Amsterdam
2016-06-15,14.2,Amsterdam
2016-06-16,15.9,Amsterdam
2016-06-17,15.6,Amsterdam
2016-06-18,13.9,Amsterdam
2016-06-19,15.4,Amsterdam
2016-06-20,15.5,Amsterdam
2016-06-21,16.8,Amsterdam
2016-06-22,19.5,Amsterdam
2016-06-23,21.2,Amsterdam
2016-06-24,18.9,Amsterdam
2016-06-25,15.5,Amsterdam
2016-06-26,15.8,Amsterdam
2016-06-27,15.6,Amsterdam
2016-06-28,16.1,Amsterdam
2016-06-29,15.9,Amsterdam
2016-06-30,16.1,Amsterdam
2016-07-01,16.5,Amsterdam
2016-07-02,15.6,Amsterdam
2016-07-03,15.3,Amsterdam
2016-07-04,17.6,Amsterdam
2016-07-05,15.4,Amsterdam
2016-07-06,14.9,Amsterdam
2016-07-07,16.9,Amsterdam
2016-07-08,17.2,Amsterdam
2016-07-09,19.1,Amsterdam
2016-07-10,20.2,Amsterdam
2016-07-11,18.6,Amsterdam
2016-07-12,17.5,Amsterdam
2016-07-13,15.3,Amsterdam
2016-07-14,14.9,Amsterdam
2016-07-15,16.5,Amsterdam
2016-07-16,19.4,Amsterdam
2016-07-17,19.4,Amsterdam
2016-07-18,20.2,Amsterdam
2016-07-19,22.5,Amsterdam
2016-07-20,24.9,Amsterdam
2016-07-21,20.8,Amsterdam
2016-07-22,21.3,Amsterdam
2016-07-23,21.2,Amsterdam
2016-07-24,20.3,Amsterdam
2016-07-25,18.7,Amsterdam
2016-07-26,19.2,Amsterdam
2016-07-27,18.1,Amsterdam
2016-07-28,18.6,Amsterdam
2016-07-29,18.6,Amsterdam
2016-07-30,18.6,Amsterdam
2016-07-31,16.6,Amsterdam
2016-08-01,17.2,Amsterdam
2016-08-02,16.8,Amsterdam
2016-08-03,19.3,Amsterdam
2016-08-04,18.3,Amsterdam
2016-08-05,17.5,Amsterdam
2016-08-06,17.2,Amsterdam
2016-08-07,18.4,Amsterdam
2016-08-08,17.5,Amsterdam
2016-08-09,14.6,Amsterdam
2016-08-10,13.4,Amsterdam
2016-08-11,14.4,Amsterdam
2016-08-12,18.8,Amsterdam
2016-08-13,18.0,Amsterdam
2016-08-14,17.2,Amsterdam
2016-08-15,16.4,Amsterdam
2016-08-16,16.9,Amsterdam
2016-08-17,17.9,Amsterdam
2016-08-18,17.8,Amsterdam
2016-08-19,18.3,Amsterdam
2016-08-20,18.1,Amsterdam
2016-08-21,17.0,Amsterdam
2016-08-22,18.3,Amsterdam
2016-08-23,21.3,Amsterdam
2016-08-24,23.8,Amsterdam
2016-08-25,24.7,Amsterdam
2016-08-26,21.2,Amsterdam
2016-08-27,21.2,Amsterdam
2016-08-28,20.3,Amsterdam
2016-08-29,17.6,Amsterdam
2016-08-30,17.1,Amsterdam
2016-08-31,18.2,Amsterdam
2016-09-01,18.2,Amsterdam
2016-09-02,17.3,Amsterdam
2016-09-03,18.8,Amsterdam
2016-09-04,18.2,Amsterdam
2016-09-05,17.7,Amsterdam
2016-09-06,18.8,Amsterdam
2016-09-07,19.9,Amsterdam
2016-09-08,20.2,Amsterdam
2016-09-09,18.0,Amsterdam
2016-09-10,19.4,Amsterdam
2016-09-11,19.2,Amsterdam
2016-09-12,21.9,Amsterdam
2016-09-13,24.1,Amsterdam
2016-09-14,23.8,Amsterdam
2016-09-15,22.2,Amsterdam
2016-09-16,17.9,Amsterdam
2016-09-17,16.8,Amsterdam
2016-09-18,17.4,Amsterdam
2016-09-19,16.2,Amsterdam
2016-09-20,15.7,Amsterdam
2016-09-21,16.1,Amsterdam
2016-09-22,15.7,Amsterdam
2016-09-23,14.7,Amsterdam
2016-09-24,16.1,Amsterdam
2016-09-25,16.3,Amsterdam
2016-09-26,14.6,Amsterdam
2016-09-27,14.9,Amsterdam
2016-09-28,18.3,Amsterdam
2016-09-29,15.9,Amsterdam
2016-09-30,14.3,Amsterdam
2016-10-01,13.2,Amsterdam
2016-10-02,12.6,Amsterdam
2016-10-03,14.7,Amsterdam
2016-10-04,13.4,Amsterdam
2016-10-05,10.5,Amsterdam
2016-10-06,10.3,Amsterdam
2016-10-07,12.3,Amsterdam
2016-10-08,11.6,Amsterdam
2016-10-09,9.2,Amsterdam
2016-10-10,8.8,Amsterdam
2016-10-11,9.2,Amsterdam
2016-10-12,9.6,Amsterdam
2016-10-13,9.2,Amsterdam
2016-10-14,9.7,Amsterdam
2016-10-15,11.0,Amsterdam
2016-10-16,13.4,Amsterdam
2016-10-17,12.8,Amsterdam
2016-10-18,10.6,Amsterdam
2016-10-19,9.9,Amsterdam
2016-10-20,9.9,Amsterdam
2016-10-21,8.2,Amsterdam
