Дата,Средняя температура,Город
04.08.2015,26.6,Barcelona
05.08.2015,26.4,Barcelona
06.08.2015,26.4,Barcelona
07.08.2015,27.1,Barcelona
08.08.2015,26.1,Barcelona
09.08.2015,24.1,Barcelona
10.08.2015,24.9,Barcelona
11.08.2015,25.4,Barcelona
12.08.2015,26.9,Barcelona
13.08.2015,27.3,Barcelona
14.08.2015,24.9,Barcelona
15.08.2015,22.3,Barcelona
16.08.2015,23.3,Barcelona
17.08.2015,23.7,Barcelona
18.08.2015,21.2,Barcelona
19.08.2015,23.0,Barcelona
20.08.2015,24.3,Barcelona
21.08.2015,25.6,Barcelona
22.08.2015,25.6,Barcelona
23.08.2015,25.7,Barcelona
24.08.2015,26.6,Barcelona
25.08.2015,23.8,Barcelona
26.08.2015,24.6,Barcelona
27.08.2015,25.7,Barcelona
28.08.2015,25.8,Barcelona
29.08.2015,25.6,Barcelona
30.08.2015,25.3,Barcelona
31.08.2015,25.8,Barcelona
01.09.2015,25.5,Barcelona
02.09.2015,23.6,Barcelona
03.09.2015,22.6,Barcelona
04.09.2015,20.6,Barcelona
05.09.2015,20.9,Barcelona
06.09.2015,21.3,Barcelona
07.09.2015,21.2,Barcelona
08.09.2015,21.2,Barcelona
09.09.2015,21.2,Barcelona
10.09.2015,19.7,Barcelona
11.09.2015,21.3,Barcelona
12.09.2015,23.6,Barcelona
13.09.2015,22.9,Barcelona
14.09.2015,23.0,Barcelona
15.09.2015,21.8,Barcelona
16.09.2015,24.2,Barcelona
17.09.2015,24.1,Barcelona
18.09.2015,20.4,Barcelona
19.09.2015,20.5,Barcelona
20.09.2015,21.6,Barcelona
21.09.2015,20.9,Barcelona
22.09.2015,20.7,Barcelona
23.09.2015,20.3,Barcelona
24.09.2015,19.5,Barcelona
25.09.2015,19.4,Barcelona
26.09.2015,20.7,Barcelona
27.09.2015,19.7,Barcelona
28.09.2015,19.9,Barcelona
29.09.2015,18.9,Barcelona
30.09.2015,18.7,Barcelona
01.10.2015,18.1,Barcelona
02.10.2015,18.8,Barcelona
03.10.2015,19.5,Barcelona
04.10.2015,19.0,Barcelona
05.10.2015,21.7,Barcelona
06.10.2015,22.9,Barcelona
07.10.2015,20.2,Barcelona
08.10.2015,18.6,Barcelona
09.10.2015,17.8,Barcelona
10.10.2015,18.1,Barcelona
11.10.2015,18.9,Barcelona
12.10.2015,19.9,Barcelona
13.10.2015,18.5,Barcelona
14.10.2015,16.9,Barcelona
15.10.2015,13.9,Barcelona
16.10.2015,14.4,Barcelona
17.10.2015,15.5,Barcelona
18.10.2015,18.2,Barcelona
19.10.2015,17.8,Barcelona
20.10.2015,17.2,Barcelona
21.10.2015,16.1,Barcelona
22.10.2015,15.2,Barcelona
23.10.2015,16.4,Barcelona
24.10.2015,16.1,Barcelona
25.10.2015,16.9,Barcelona
26.10.2015,17.3,Barcelona
27.10.2015,18.3,Barcelona
28.10.2015,18.1,Barcelona
29.10.2015,15.4,Barcelona
30.10.2015,16.5,Barcelona
31.10.2015,16.6,Barcelona
01.11.2015,17.6,Barcelona
02.11.2015,18.2,Barcelona
03.11.2015,17.7,Barcelona
04.11.2015,16.8,Barcelona
05.11.2015,16.8,Barcelona
06.11.2015,16.4,Barcelona
07.11.2015,16.1,Barcelona
08.11.2015,16.6,Barcelona
09.11.2015,16.6,Barcelona
10.11.2015,16.3,Barcelona
11.11.2015,15.5,Barcelona
