Дата,Средняя температура,Город
04.08.2015,18.3,London
05.08.2015,18.4,London
06.08.2015,19.4,London
07.08.2015,19.5,London
08.08.2015,19.8,London
09.08.2015,21.3,London
10.08.2015,20.3,London
11.08.2015,18.3,London
12.08.2015,18.6,London
13.08.2015,18.9,London
14.08.2015,19.1,London
15.08.2015,17.5,London
16.08.2015,17.5,London
17.08.2015,17.8,London
18.08.2015,17.7,London
19.08.2015,17.9,London
20.08.2015,19.0,London
21.08.2015,22.1,London
22.08.2015,23.3,London
23.08.2015,19.4,London
24.08.2015,15.9,London
25.08.2015,16.2,London
26.08.2015,18.3,London
27.08.2015,16.8,London
28.08.2015,17.0,London
29.08.2015,18.3,London
30.08.2015,17.8,London
31.08.2015,15.4,London
01.09.2015,15.5,London
02.09.2015,14.7,London
03.09.2015,13.8,London
04.09.2015,14.2,London
05.09.2015,13.3,London
06.09.2015,14.2,London
07.09.2015,14.4,London
08.09.2015,14.2,London
09.09.2015,15.8,London
10.09.2015,16.2,London
11.09.2015,16.6,London
12.09.2015,17.9,London
13.09.2015,13.9,London
14.09.2015,14.6,London
15.09.2015,14.2,London
16.09.2015,13.8,London
17.09.2015,14.8,London
18.09.2015,15.1,London
19.09.2015,15.3,London
20.09.2015,15.4,London
21.09.2015,14.7,London
22.09.2015,12.4,London
23.09.2015,14.1,London
24.09.2015,15.6,London
25.09.2015,13.7,London
26.09.2015,13.2,London
27.09.2015,13.6,London
28.09.2015,14.1,London
29.09.2015,14.7,London
30.09.2015,14.3,London
01.10.2015,14.3,London
02.10.2015,13.6,London
03.10.2015,12.6,London
04.10.2015,13.3,London
05.10.2015,15.9,London
06.10.2015,16.6,London
07.10.2015,14.8,London
08.10.2015,12.4,London
09.10.2015,12.6,London
10.10.2015,13.1,London
11.10.2015,12.4,London
12.10.2015,11.3,London
13.10.2015,10.8,London
14.10.2015,10.6,London
15.10.2015,11.2,London
16.10.2015,12.5,London
17.10.2015,12.0,London
18.10.2015,13.1,London
19.10.2015,12.7,London
20.10.2015,11.5,London
21.10.2015,12.5,London
22.10.2015,13.9,London
23.10.2015,12.8,London
24.10.2015,12.7,London
25.10.2015,8.9,London
26.10.2015,11.4,London
27.10.2015,14.4,London
28.10.2015,13.7,London
29.10.2015,13.3,London
30.10.2015,14.7,London
31.10.2015,12.5,London
01.11.2015,9.2,London
02.11.2015,10.4,London
03.11.2015,11.8,London
04.11.2015,13.4,London
05.11.2015,15.2,London
06.11.2015,16.2,London
07.11.2015,15.8,London
08.11.2015,14.1,London
09.11.2015,13.9,London
10.11.2015,15.8,London
11.11.2015,14.8,London
12.11.2015,14.3,London
13.11.2015,10.9,London
14.11.2015,11.1,London
15.11.2015,15.6,London
16.11.2015,13.7,London
17.11.2015,14.8,London
18.11.2015,13.9,London
19.11.2015,11.7,London
20.11.2015,9.3,London
21.11.2015,4.4,London
22.11.2015,3.4,London
23.11.2015,4.9,London
24.11.2015,8.9,London
25.11.2015,9.1,London
26.11.2015,9.3,London
27.11.2015,11.4,London
28.11.2015,8.0,London
29.11.2015,12.1,London
30.11.2015,12.2,London
01.12.2015,12.9,London
02.12.2015,13.1,London
