Дата,Средняя температура,Город
04.08.2015,26.9,Milan
05.08.2015,28.2,Milan
06.08.2015,29.4,Milan
07.08.2015,30.1,Milan
08.08.2015,29.8,Milan
09.08.2015,27.9,Milan
10.08.2015,22.2,Milan
11.08.2015,26.2,Milan
12.08.2015,28.1,Milan
13.08.2015,29.1,Milan
14.08.2015,24.9,Milan
15.08.2015,21.9,Milan
16.08.2015,20.9,Milan
17.08.2015,22.8,Milan
18.08.2015,21.6,Milan
19.08.2015,20.8,Milan
20.08.2015,22.6,Milan
21.08.2015,21.8,Milan
22.08.2015,22.7,Milan
23.08.2015,19.7,Milan
24.08.2015,19.6,Milan
25.08.2015,22.0,Milan
26.08.2015,22.9,Milan
27.08.2015,24.4,Milan
28.08.2015,25.3,Milan
29.08.2015,26.6,Milan
30.08.2015,26.6,Milan
31.08.2015,26.6,Milan
01.09.2015,24.7,Milan
02.09.2015,24.3,Milan
03.09.2015,22.9,Milan
04.09.2015,22.2,Milan
05.09.2015,19.5,Milan
06.09.2015,18.2,Milan
07.09.2015,19.2,Milan
08.09.2015,19.8,Milan
09.09.2015,19.3,Milan
10.09.2015,19.5,Milan
11.09.2015,18.5,Milan
12.09.2015,20.8,Milan
13.09.2015,18.9,Milan
14.09.2015,20.3,Milan
15.09.2015,21.2,Milan
16.09.2015,19.6,Milan
17.09.2015,21.7,Milan
18.09.2015,22.0,Milan
19.09.2015,20.1,Milan
20.09.2015,19.6,Milan
21.09.2015,19.1,Milan
22.09.2015,18.4,Milan
23.09.2015,13.7,Milan
24.09.2015,15.2,Milan
25.09.2015,17.7,Milan
26.09.2015,18.9,Milan
27.09.2015,17.8,Milan
28.09.2015,17.0,Milan
29.09.2015,15.3,Milan
30.09.2015,15.4,Milan
01.10.2015,13.7,Milan
02.10.2015,14.3,Milan
03.10.2015,15.3,Milan
04.10.2015,16.6,Milan
05.10.2015,17.1,Milan
06.10.2015,16.3,Milan
07.10.2015,17.4,Milan
08.10.2015,18.2,Milan
09.10.2015,17.2,Milan
10.10.2015,16.6,Milan
11.10.2015,16.4,Milan
12.10.2015,16.4,Milan
13.10.2015,14.5,Milan
14.10.2015,14.8,Milan
15.10.2015,13.2,Milan
16.10.2015,11.3,Milan
17.10.2015,11.2,Milan
18.10.2015,11.8,Milan
19.10.2015,11.7,Milan
20.10.2015,12.2,Milan
21.10.2015,10.8,Milan
22.10.2015,10.4,Milan
23.10.2015,11.3,Milan
24.10.2015,11.2,Milan
25.10.2015,12.3,Milan
26.10.2015,9.6,Milan
27.10.2015,10.2,Milan
28.10.2015,12.1,Milan
29.10.2015,12.8,Milan
30.10.2015,13.2,Milan
31.10.2015,12.4,Milan
01.11.2015,11.2,Milan
02.11.2015,10.1,Milan
03.11.2015,9.3,Milan
04.11.2015,11.8,Milan
05.11.2015,11.7,Milan
06.11.2015,12.4,Milan
07.11.2015,12.0,Milan
08.11.2015,12.4,Milan
09.11.2015,13.7,Milan
10.11.2015,12.9,Milan
11.11.2015,12.1,Milan
12.11.2015,11.3,Milan
13.11.2015,9.6,Milan
14.11.2015,9.9,Milan
15.11.2015,10.1,Milan
16.11.2015,9.3,Milan
17.11.2015,9.1,Milan
18.11.2015,8.6,Milan
19.11.2015,10.7,Milan
20.11.2015,11.6,Milan
21.11.2015,9.8,Milan
22.11.2015,7.6,Milan
23.11.2015,5.1,Milan
24.11.2015,3.4,Milan
25.11.2015,3.2,Milan
26.11.2015,2.8,Milan
27.11.2015,3.7,Milan
28.11.2015,1.8,Milan
29.11.2015,3.0,Milan
30.11.2015,5.6,Milan
01.12.2015,6.0,Milan
02.12.2015,4.3,Milan
03.12.2015,3.9,Milan
04.12.2015,3.2,Milan
05.12.2015,5.8,Milan
06.12.2015,6.3,Milan
07.12.2015,6.6,Milan
08.12.2015,5.8,Milan
09.12.2015,5.2,Milan
10.12.2015,3.1,Milan
11.12.2015,2.1,Milan
12.12.2015,3.1,Milan
13.12.2015,6.3,Milan
14.12.2015,6.1,Milan
15.12.2015,5.9,Milan
16.12.2015,7.6,Milan
17.12.2015,5.5,Milan
18.12.2015,5.3,Milan
19.12.2015,5.4,Milan
20.12.2015,5.7,Milan
21.12.2015,7.4,Milan
22.12.2015,8.0,Milan
23.12.2015,7.6,Milan
24.12.2015,7.3,Milan
25.12.2015,5.9,Milan
26.12.2015,2.9,Milan
27.12.2015,1.6,Milan
28.12.2015,0.8,Milan
29.12.2015,0.9,Milan
30.12.2015,5.7,Milan
01.01.2016,0.8,Milan
02.01.2016,1.2,Milan
03.01.2016,1.6,Milan
04.01.2016,2.1,Milan
05.01.2016,3.3,Milan
06.01.2016,4.6,Milan
07.01.2016,2.6,Milan
08.01.2016,2.3,Milan
09.01.2016,4.6,Milan
10.01.2016,5.3,Milan
11.01.2016,6.3,Milan
12.01.2016,5.4,Milan
13.01.2016,6.9,Milan
14.01.2016,2.3,Milan
15.01.2016,4.9,Milan
16.01.2016,4.6,Milan
17.01.2016,5.4,Milan
18.01.2016,0.1,Milan
19.01.2016,-0.6,Milan
20.01.2016,-0.2,Milan
21.01.2016,-0.2,Milan
22.01.2016,0.1,Milan
23.01.2016,1.6,Milan
24.01.2016,1.9,Milan
25.01.2016,4.4,Milan
26.01.2016,6.5,Milan
27.01.2016,6.9,Milan
28.01.2016,9.0,Milan
29.01.2016,9.5,Milan
30.01.2016,7.7,Milan
31.01.2016,7.6,Milan
01.02.2016,4.8,Milan
02.02.2016,7.8,Milan
03.02.2016,8.4,Milan
04.02.2016,9.1,Milan
05.02.2016,6.3,Milan
06.02.2016,4.5,Milan
07.02.2016,5.9,Milan
08.02.2016,7.2,Milan
09.02.2016,8.2,Milan
10.02.2016,8.7,Milan
11.02.2016,4.7,Milan
12.02.2016,4.9,Milan
13.02.2016,4.2,Milan
14.02.2016,5.0,Milan
15.02.2016,6.2,Milan
16.02.2016,7.4,Milan
17.02.2016,5.8,Milan
18.02.2016,5.9,Milan
19.02.2016,7.6,Milan
20.02.2016,7.2,Milan
21.02.2016,9.6,Milan
22.02.2016,9.0,Milan
23.02.2016,9.9,Milan
24.02.2016,7.7,Milan
25.02.2016,7.1,Milan
26.02.2016,4.6,Milan
27.02.2016,5.1,Milan
28.02.2016,7.0,Milan
29.02.2016,9.7,Milan
01.03.2016,8.7,Milan
02.03.2016,9.6,Milan
03.03.2016,9.8,Milan
04.03.2016,6.7,Milan
05.03.2016,4.6,Milan
06.03.2016,3.3,Milan
07.03.2016,4.9,Milan
08.03.2016,4.7,Milan
09.03.2016,6.5,Milan
10.03.2016,9.1,Milan
11.03.2016,9.5,Milan
12.03.2016,11.9,Milan
13.03.2016,11.1,Milan
14.03.2016,10.7,Milan
15.03.2016,9.1,Milan
16.03.2016,7.2,Milan
17.03.2016,9.4,Milan
18.03.2016,9.7,Milan
19.03.2016,11.7,Milan
20.03.2016,12.4,Milan
21.03.2016,11.8,Milan
22.03.2016,11.6,Milan
23.03.2016,10.8,Milan
24.03.2016,10.8,Milan
25.03.2016,11.3,Milan
26.03.2016,11.6,Milan
27.03.2016,12.2,Milan
28.03.2016,10.9,Milan
29.03.2016,14.4,Milan
30.03.2016,14.2,Milan
31.03.2016,14.9,Milan
01.04.2016,14.4,Milan
02.04.2016,15.1,Milan
03.04.2016,15.9,Milan
04.04.2016,14.8,Milan
05.04.2016,13.9,Milan
06.04.2016,16.2,Milan
07.04.2016,16.4,Milan
08.04.2016,15.2,Milan
09.04.2016,14.8,Milan
10.04.2016,15.4,Milan
11.04.2016,16.4,Milan
12.04.2016,16.5,Milan
13.04.2016,15.7,Milan
14.04.2016,16.8,Milan
15.04.2016,16.2,Milan
16.04.2016,16.7,Milan
17.04.2016,16.8,Milan
18.04.2016,16.9,Milan
19.04.2016,15.4,Milan
20.04.2016,16.6,Milan
21.04.2016,17.1,Milan
22.04.2016,17.5,Milan
23.04.2016,15.9,Milan
24.04.2016,14.0,Milan
25.04.2016,12.2,Milan
26.04.2016,12.1,Milan
27.04.2016,13.3,Milan
28.04.2016,12.1,Milan
29.04.2016,14.0,Milan
30.04.2016,15.4,Milan
01.05.2016,10.9,Milan
02.05.2016,13.8,Milan
03.05.2016,17.7,Milan
04.05.2016,18.5,Milan
05.05.2016,16.5,Milan
06.05.2016,17.5,Milan
07.05.2016,18.4,Milan
08.05.2016,18.8,Milan
09.05.2016,16.0,Milan
10.05.2016,16.1,Milan
11.05.2016,15.2,Milan
12.05.2016,15.0,Milan
13.05.2016,15.8,Milan
14.05.2016,17.4,Milan
15.05.2016,17.7,Milan
16.05.2016,15.1,Milan
17.05.2016,16.4,Milan
18.05.2016,17.6,Milan
19.05.2016,13.1,Milan
20.05.2016,17.2,Milan
21.05.2016,20.4,Milan
22.05.2016,21.3,Milan
23.05.2016,16.1,Milan
24.05.2016,18.6,Milan
25.05.2016,19.2,Milan
26.05.2016,21.1,Milan
27.05.2016,22.6,Milan
28.05.2016,23.7,Milan
29.05.2016,18.1,Milan
30.05.2016,16.6,Milan
31.05.2016,16.9,Milan
01.06.2016,17.8,Milan
02.06.2016,17.8,Milan
03.06.2016,19.1,Milan
04.06.2016,18.7,Milan
05.06.2016,19.6,Milan
06.06.2016,21.3,Milan
07.06.2016,22.4,Milan
08.06.2016,21.3,Milan
09.06.2016,19.0,Milan
10.06.2016,20.9,Milan
11.06.2016,20.3,Milan
12.06.2016,20.2,Milan
13.06.2016,21.6,Milan
14.06.2016,19.7,Milan
15.06.2016,19.4,Milan
16.06.2016,20.4,Milan
17.06.2016,20.7,Milan
18.06.2016,19.6,Milan
19.06.2016,18.6,Milan
20.06.2016,21.7,Milan
21.06.2016,23.9,Milan
22.06.2016,25.3,Milan
23.06.2016,26.8,Milan
24.06.2016,28.3,Milan
25.06.2016,27.1,Milan
26.06.2016,24.8,Milan
27.06.2016,24.9,Milan
28.06.2016,24.9,Milan
29.06.2016,25.8,Milan
30.06.2016,25.7,Milan
01.07.2016,26.1,Milan
02.07.2016,24.6,Milan
03.07.2016,25.4,Milan
04.07.2016,24.4,Milan
05.07.2016,25.9,Milan
06.07.2016,26.1,Milan
07.07.2016,26.4,Milan
08.07.2016,26.5,Milan
09.07.2016,27.8,Milan
10.07.2016,29.2,Milan
11.07.2016,29.1,Milan
12.07.2016,24.1,Milan
13.07.2016,22.8,Milan
14.07.2016,22.5,Milan
15.07.2016,21.7,Milan
16.07.2016,21.9,Milan
17.07.2016,23.5,Milan
18.07.2016,26.1,Milan
19.07.2016,26.6,Milan
20.07.2016,28.2,Milan
21.07.2016,27.4,Milan
22.07.2016,26.1,Milan
23.07.2016,24.6,Milan
24.07.2016,25.1,Milan
25.07.2016,27.2,Milan
26.07.2016,26.4,Milan
27.07.2016,24.8,Milan
28.07.2016,24.5,Milan
29.07.2016,26.6,Milan
30.07.2016,27.2,Milan
31.07.2016,23.8,Milan
01.08.2016,23.6,Milan
02.08.2016,24.9,Milan
03.08.2016,25.8,Milan
04.08.2016,27.2,Milan
05.08.2016,22.3,Milan
06.08.2016,22.5,Milan
07.08.2016,23.9,Milan
08.08.2016,24.1,Milan
09.08.2016,25.0,Milan
10.08.2016,21.7,Milan
11.08.2016,20.1,Milan
12.08.2016,20.9,Milan
13.08.2016,22.2,Milan
14.08.2016,24.2,Milan
15.08.2016,26.0,Milan
16.08.2016,25.7,Milan
17.08.2016,25.2,Milan
18.08.2016,23.9,Milan
19.08.2016,23.9,Milan
20.08.2016,23.2,Milan
21.08.2016,24.4,Milan
22.08.2016,23.2,Milan
23.08.2016,23.5,Milan
24.08.2016,24.5,Milan
25.08.2016,24.9,Milan
26.08.2016,25.1,Milan
27.08.2016,25.5,Milan
28.08.2016,26.3,Milan
29.08.2016,26.9,Milan
30.08.2016,22.9,Milan
31.08.2016,24.4,Milan
01.09.2016,25.2,Milan
02.09.2016,26.1,Milan
03.09.2016,26.2,Milan
04.09.2016,25.7,Milan
05.09.2016,25.8,Milan
06.09.2016,23.6,Milan
07.09.2016,23.4,Milan
08.09.2016,24.7,Milan
09.09.2016,25.0,Milan
10.09.2016,25.1,Milan
11.09.2016,25.7,Milan
12.09.2016,24.9,Milan
13.09.2016,25.0,Milan
