Дата,Средняя температура,Город
04.08.2015,21.4,Paris
05.08.2015,23.8,Paris
06.08.2015,24.4,Paris
07.08.2015,22.2,Paris
08.08.2015,22.9,Paris
09.08.2015,22.2,Paris
10.08.2015,22.9,Paris
11.08.2015,24.2,Paris
12.08.2015,26.3,Paris
13.08.2015,24.3,Paris
14.08.2015,20.3,Paris
15.08.2015,17.6,Paris
16.08.2015,18.6,Paris
17.08.2015,17.9,Paris
18.08.2015,17.5,Paris
19.08.2015,20.1,Paris
20.08.2015,19.4,Paris
21.08.2015,23.0,Paris
22.08.2015,24.4,Paris
23.08.2015,20.1,Paris
24.08.2015,16.6,Paris
25.08.2015,16.6,Paris
26.08.2015,21.9,Paris
27.08.2015,15.4,Paris
28.08.2015,17.9,Paris
29.08.2015,23.2,Paris
30.08.2015,26.6,Paris
31.08.2015,23.5,Paris
01.09.2015,18.2,Paris
02.09.2015,16.3,Paris
03.09.2015,15.1,Paris
04.09.2015,14.7,Paris
05.09.2015,15.2,Paris
06.09.2015,14.3,Paris
07.09.2015,15.2,Paris
08.09.2015,15.4,Paris
09.09.2015,17.2,Paris
10.09.2015,17.6,Paris
11.09.2015,17.9,Paris
12.09.2015,17.1,Paris
13.09.2015,15.3,Paris
14.09.2015,15.8,Paris
15.09.2015,15.2,Paris
16.09.2015,16.1,Paris
17.09.2015,15.8,Paris
18.09.2015,13.7,Paris
19.09.2015,15.2,Paris
20.09.2015,14.3,Paris
21.09.2015,14.5,Paris
22.09.2015,13.3,Paris
23.09.2015,13.7,Paris
24.09.2015,13.8,Paris
25.09.2015,15.1,Paris
26.09.2015,14.2,Paris
27.09.2015,14.5,Paris
28.09.2015,14.3,Paris
29.09.2015,14.3,Paris
30.09.2015,13.7,Paris
01.10.2015,12.7,Paris
02.10.2015,13.8,Paris
03.10.2015,15.4,Paris
04.10.2015,12.8,Paris
05.10.2015,15.1,Paris
06.10.2015,17.0,Paris
07.10.2015,14.3,Paris
08.10.2015,13.2,Paris
09.10.2015,12.3,Paris
10.10.2015,13.3,Paris
11.10.2015,12.1,Paris
12.10.2015,11.1,Paris
13.10.2015,9.3,Paris
14.10.2015,7.0,Paris
15.10.2015,5.8,Paris
16.10.2015,6.6,Paris
17.10.2015,10.4,Paris
18.10.2015,9.7,Paris
19.10.2015,9.9,Paris
20.10.2015,11.2,Paris
21.10.2015,10.8,Paris
22.10.2015,12.8,Paris
23.10.2015,12.6,Paris
24.10.2015,12.7,Paris
25.10.2015,11.8,Paris
26.10.2015,11.4,Paris
27.10.2015,15.2,Paris
28.10.2015,12.8,Paris
29.10.2015,11.8,Paris
30.10.2015,11.8,Paris
31.10.2015,11.8,Paris
01.11.2015,12.6,Paris
02.11.2015,8.8,Paris
03.11.2015,12.7,Paris
04.11.2015,14.5,Paris
05.11.2015,15.2,Paris
06.11.2015,16.8,Paris
07.11.2015,17.5,Paris
08.11.2015,16.9,Paris
09.11.2015,15.4,Paris
10.11.2015,11.8,Paris
11.11.2015,12.2,Paris
12.11.2015,13.2,Paris
13.11.2015,13.2,Paris
14.11.2015,10.4,Paris
15.11.2015,13.6,Paris
16.11.2015,13.6,Paris
17.11.2015,15.7,Paris
18.11.2015,13.8,Paris
19.11.2015,14.4,Paris
20.11.2015,10.4,Paris
21.11.2015,5.8,Paris
22.11.2015,4.9,Paris
23.11.2015,3.7,Paris
24.11.2015,4.1,Paris
25.11.2015,8.3,Paris
26.11.2015,6.8,Paris
27.11.2015,3.6,Paris
28.11.2015,7.7,Paris
29.11.2015,11.4,Paris
30.11.2015,11.8,Paris
01.12.2015,12.7,Paris
02.12.2015,11.0,Paris
03.12.2015,8.4,Paris
04.12.2015,9.6,Paris
05.12.2015,6.0,Paris
06.12.2015,9.8,Paris
07.12.2015,10.8,Paris
08.12.2015,9.2,Paris
09.12.2015,7.6,Paris
10.12.2015,3.5,Paris
11.12.2015,6.5,Paris
12.12.2015,9.9,Paris
13.12.2015,6.2,Paris
14.12.2015,5.3,Paris
15.12.2015,9.4,Paris
16.12.2015,13.0,Paris
17.12.2015,13.4,Paris
18.12.2015,12.3,Paris
19.12.2015,11.5,Paris
20.12.2015,12.1,Paris
21.12.2015,11.6,Paris
22.12.2015,12.4,Paris
23.12.2015,11.1,Paris
24.12.2015,11.1,Paris
25.12.2015,11.5,Paris
26.12.2015,10.2,Paris
27.12.2015,9.3,Paris
28.12.2015,8.3,Paris
29.12.2015,9.6,Paris
30.12.2015,8.4,Paris
01.01.2016,6.7,Paris
02.01.2016,9.1,Paris
03.01.2016,7.3,Paris
04.01.2016,7.4,Paris
05.01.2016,7.4,Paris
06.01.2016,8.0,Paris
07.01.2016,8.1,Paris
08.01.2016,5.8,Paris
09.01.2016,8.2,Paris
10.01.2016,6.1,Paris
11.01.2016,7.4,Paris
12.01.2016,6.7,Paris
13.01.2016,5.3,Paris
14.01.2016,4.9,Paris
15.01.2016,3.6,Paris
16.01.2016,3.6,Paris
17.01.2016,3.2,Paris
18.01.2016,-0.5,Paris
19.01.2016,-0.2,Paris
20.01.2016,-2.2,Paris
21.01.2016,-0.4,Paris
22.01.2016,2.6,Paris
23.01.2016,6.9,Paris
24.01.2016,8.6,Paris
25.01.2016,9.2,Paris
26.01.2016,10.1,Paris
27.01.2016,11.0,Paris
28.01.2016,8.7,Paris
29.01.2016,7.1,Paris
30.01.2016,8.3,Paris
31.01.2016,10.5,Paris
01.02.2016,12.2,Paris
02.02.2016,10.2,Paris
03.02.2016,6.7,Paris
04.02.2016,8.1,Paris
05.02.2016,9.8,Paris
06.02.2016,10.6,Paris
07.02.2016,9.1,Paris
08.02.2016,9.7,Paris
09.02.2016,7.2,Paris
10.02.2016,5.4,Paris
11.02.2016,5.6,Paris
12.02.2016,3.9,Paris
13.02.2016,6.6,Paris
14.02.2016,6.1,Paris
15.02.2016,4.2,Paris
16.02.2016,3.2,Paris
17.02.2016,0.9,Paris
18.02.2016,1.5,Paris
19.02.2016,5.4,Paris
20.02.2016,10.1,Paris
21.02.2016,11.6,Paris
22.02.2016,10.9,Paris
23.02.2016,7.1,Paris
24.02.2016,4.8,Paris
25.02.2016,4.3,Paris
26.02.2016,3.6,Paris
27.02.2016,4.2,Paris
28.02.2016,3.8,Paris
29.02.2016,4.2,Paris
01.03.2016,5.6,Paris
02.03.2016,7.7,Paris
03.03.2016,6.4,Paris
04.03.2016,6.3,Paris
05.03.2016,4.2,Paris
06.03.2016,5.3,Paris
07.03.2016,4.1,Paris
08.03.2016,5.7,Paris
09.03.2016,6.2,Paris
10.03.2016,7.2,Paris
11.03.2016,8.3,Paris
12.03.2016,7.8,Paris
13.03.2016,6.8,Paris
14.03.2016,6.3,Paris
15.03.2016,7.8,Paris
