Дата,Средняя температура,Город
04.08.2015,25.9,Vienna
05.08.2015,27.2,Vienna
06.08.2015,28.7,Vienna
07.08.2015,29.7,Vienna
08.08.2015,29.7,Vienna
09.08.2015,28.5,Vienna
10.08.2015,28.1,Vienna
11.08.2015,27.7,Vienna
12.08.2015,29.1,Vienna
13.08.2015,29.0,Vienna
14.08.2015,27.7,Vienna
15.08.2015,26.9,Vienna
16.08.2015,24.7,Vienna
17.08.2015,18.6,Vienna
18.08.2015,17.4,Vienna
19.08.2015,16.9,Vienna
20.08.2015,16.4,Vienna
21.08.2015,19.4,Vienna
22.08.2015,19.3,Vienna
23.08.2015,18.8,Vienna
24.08.2015,21.3,Vienna
25.08.2015,19.4,Vienna
26.08.2015,18.4,Vienna
27.08.2015,21.6,Vienna
28.08.2015,22.8,Vienna
29.08.2015,24.9,Vienna
30.08.2015,28.8,Vienna
31.08.2015,24.6,Vienna
01.09.2015,25.4,Vienna
02.09.2015,19.8,Vienna
03.09.2015,17.8,Vienna
04.09.2015,18.4,Vienna
05.09.2015,15.4,Vienna
06.09.2015,14.3,Vienna
07.09.2015,13.5,Vienna
08.09.2015,14.5,Vienna
09.09.2015,12.3,Vienna
10.09.2015,15.2,Vienna
11.09.2015,15.0,Vienna
12.09.2015,17.0,Vienna
13.09.2015,18.7,Vienna
14.09.2015,18.8,Vienna
15.09.2015,17.8,Vienna
16.09.2015,19.2,Vienna
17.09.2015,23.0,Vienna
18.09.2015,19.1,Vienna
19.09.2015,17.9,Vienna
20.09.2015,16.4,Vienna
21.09.2015,14.4,Vienna
22.09.2015,14.9,Vienna
23.09.2015,13.6,Vienna
24.09.2015,13.3,Vienna
25.09.2015,13.8,Vienna
26.09.2015,13.9,Vienna
27.09.2015,14.1,Vienna
28.09.2015,14.0,Vienna
29.09.2015,12.4,Vienna
30.09.2015,10.9,Vienna
01.10.2015,11.2,Vienna
02.10.2015,11.8,Vienna
03.10.2015,15.6,Vienna
04.10.2015,13.6,Vienna
05.10.2015,14.8,Vienna
06.10.2015,14.2,Vienna
07.10.2015,14.3,Vienna
08.10.2015,13.6,Vienna
09.10.2015,12.9,Vienna
10.10.2015,8.6,Vienna
11.10.2015,6.6,Vienna
12.10.2015,4.1,Vienna
13.10.2015,4.3,Vienna
14.10.2015,8.3,Vienna
15.10.2015,10.9,Vienna
16.10.2015,8.5,Vienna
17.10.2015,8.2,Vienna
18.10.2015,7.1,Vienna
19.10.2015,8.1,Vienna
20.10.2015,8.6,Vienna
21.10.2015,9.2,Vienna
22.10.2015,9.4,Vienna
23.10.2015,11.3,Vienna
